[ssm_oa][INFO] [2016-07-19 17:27:13] org.springframework.web.servlet.handler.AbstractHandlerMethodMapping.registerHandlerMethod(217) | Mapped "{[/sysLog/save],methods=[POST]}" onto public java.lang.String com.shupro.oa.admin.controller.SysLogController.save(com.shupro.oa.admin.model.SysLog)
[ssm_oa][INFO] [2016-07-19 17:27:13] org.springframework.web.servlet.handler.AbstractHandlerMethodMapping.registerHandlerMethod(217) | Mapped "{[/sysLog/delete/{ids}],methods=[GET]}" onto public java.lang.String com.shupro.oa.admin.controller.SysLogController.delete(java.lang.String)
[ssm_oa][INFO] [2016-07-19 17:27:13] org.springframework.web.servlet.handler.AbstractHandlerMethodMapping.registerHandlerMethod(217) | Mapped "{[/sysLog/update],methods=[POST]}" onto public java.lang.String com.shupro.oa.admin.controller.SysLogController.update(com.shupro.oa.admin.model.SysLog)
[ssm_oa][INFO] [2016-07-19 17:27:13] org.springframework.web.servlet.handler.AbstractHandlerMethodMapping.registerHandlerMethod(217) | Mapped "{[/sysMenu/init]}" onto public java.lang.String com.shupro.oa.admin.controller.SysMenuController.init()
[ssm_oa][INFO] [2016-07-19 17:27:13] org.springframework.web.servlet.handler.AbstractHandlerMethodMapping.registerHandlerMethod(217) | Mapped "{[/sysMenu/list]}" onto public java.lang.String com.shupro.oa.admin.controller.SysMenuController.list(javax.servlet.http.HttpServletRequest)
[ssm_oa][INFO] [2016-07-19 17:27:13] org.springframework.web.servlet.handler.AbstractHandlerMethodMapping.registerHandlerMethod(217) | Mapped "{[/sysMenu/save],methods=[POST]}" onto public java.lang.String com.shupro.oa.admin.controller.SysMenuController.save(com.shupro.oa.admin.model.SysMenu)
[ssm_oa][INFO] [2016-07-19 17:27:13] org.springframework.web.servlet.handler.AbstractHandlerMethodMapping.registerHandlerMethod(217) | Mapped "{[/sysMenu/delete/{ids}],methods=[GET]}" onto public java.lang.String com.shupro.oa.admin.controller.SysMenuController.delete(java.lang.String)
[ssm_oa][INFO] [2016-07-19 17:27:13] org.springframework.web.servlet.handler.AbstractHandlerMethodMapping.registerHandlerMethod(217) | Mapped "{[/sysMenu/update],methods=[POST]}" onto public java.lang.String com.shupro.oa.admin.controller.SysMenuController.update(com.shupro.oa.admin.model.SysMenu)
[ssm_oa][INFO] [2016-07-19 17:27:13] org.springframework.web.servlet.handler.AbstractHandlerMethodMapping.registerHandlerMethod(217) | Mapped "{[/sysRole/init]}" onto public java.lang.String com.shupro.oa.admin.controller.SysRoleController.init()
[ssm_oa][INFO] [2016-07-19 17:27:13] org.springframework.web.servlet.handler.AbstractHandlerMethodMapping.registerHandlerMethod(217) | Mapped "{[/sysRole/list]}" onto public java.lang.String com.shupro.oa.admin.controller.SysRoleController.list(javax.servlet.http.HttpServletRequest)
[ssm_oa][INFO] [2016-07-19 17:27:13] org.springframework.web.servlet.handler.AbstractHandlerMethodMapping.registerHandlerMethod(217) | Mapped "{[/sysRole/save],methods=[POST]}" onto public java.lang.String com.shupro.oa.admin.controller.SysRoleController.save(com.shupro.oa.admin.model.SysRole)
[ssm_oa][INFO] [2016-07-19 17:27:13] org.springframework.web.servlet.handler.AbstractHandlerMethodMapping.registerHandlerMethod(217) | Mapped "{[/sysRole/delete/{ids}],methods=[GET]}" onto public java.lang.String com.shupro.oa.admin.controller.SysRoleController.delete(java.lang.String)
[ssm_oa][INFO] [2016-07-19 17:27:13] org.springframework.web.servlet.handler.AbstractHandlerMethodMapping.registerHandlerMethod(217) | Mapped "{[/sysRole/update],methods=[POST]}" onto public java.lang.String com.shupro.oa.admin.controller.SysRoleController.update(com.shupro.oa.admin.model.SysRole)
[ssm_oa][INFO] [2016-07-19 17:27:13] org.springframework.web.servlet.handler.AbstractHandlerMethodMapping.registerHandlerMethod(217) | Mapped "{[/sysUser/init]}" onto public java.lang.String com.shupro.oa.admin.controller.SysUserController.init()
